date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,changeOverTime,trend
816,140.6877,140.8143,139.6225,139.9184,20041241,20041241,-0.827746,-0.588,140.2662,1.135291622,DOWN
817,140.1545,140.3858,139.5581,140.0255,14246347,14246347,0.107119,0.077,139.9165,1.136926073,UP
818,140.3176,140.5221,139.5191,139.8892,20860358,20860358,-0.136334,-0.097,139.9645,1.134846001,DOWN
819,141.3012,143.3462,141.1649,142.7424,33602943,33602943,2.8533,2.04,142.4412,1.178388624,UP
820,143.6773,144.2129,142.9956,143.6481,45352194,45352194,0.905651,0.634,143.591,1.192210492,UP
821,141.7784,143.6286,140.4929,143.2099,45697034,45697034,-0.438218,-0.305,142.3717,1.185523131,DOWN
822,142.684,143.2878,141.9926,142.6938,23371872,23371872,-0.516124,-0.36,142.5003,1.17764694,DOWN
823,142.9177,145.0796,142.9177,145.0601,27327725,27327725,2.3664,1.658,144.3401,1.213758993,UP
824,145.1283,149.676,145.1283,149.0041,48752413,48752413,3.944,2.719,148.012,1.27394829,UP
825,149.8416,150.8251,149.4326,149.9584,39130363,39130363,0.954341,0.64,150.0836,1.288511841,UP
826,149.6079,149.9098,148.1277,149.2476,25805692,25805692,-0.710888,-0.474,149.0706,1.277664338,DOWN
827,149.0716,150.6557,148.9347,150.5384,27255058,27255058,1.2908,0.865,149.7957,1.297363208,UP
828,151.2717,152.9536,151.2424,152.6407,32527017,32527017,2.1024,1.397,152.391,1.329446362,UP
829,152.5527,153.1785,151.614,152.2496,26009719,26009719,-0.391136,-0.256,152.1409,1.323477794,DOWN
830,152.4843,152.6016,151.2913,152.0247,20048478,20048478,-0.224903,-0.148,151.866,1.3200456,DOWN
831,150.1961,151.1446,146.3923,146.9204,50767678,50767678,-5.1043,-3.358,148.1579,1.24214899,DOWN
832,147.9178,149.9419,147.7809,149.1596,33568215,33568215,2.2392,1.524,149.0793,1.276321372,UP
833,149.981,150.5677,149.2476,149.6681,26960788,26960788,0.508477,0.341,149.9213,1.284081579,UP
834,150.5873,151.1544,149.5214,150.5775,22966437,22966437,0.90939,0.608,150.3544,1.297959912,UP
835,151.4673,151.4673,149.9125,150.3917,19918871,19918871,-0.185789,-0.123,150.4226,1.295124423,DOWN
836,150.4308,150.7535,149.2867,149.9419,19219154,19219154,-0.449806,-0.299,149.8606,1.288260035,DOWN
837,150.3232,150.9295,149.6387,150.4601,19235598,19235598,0.518255,0.346,150.3864,1.296168274,UP
838,150.5873,150.8219,149.9125,150.2059,21927637,21927637,-0.254239,-0.169,150.2737,1.292288933,DOWN
839,150.0201,151.0077,149.9321,150.2646,20126851,20126851,0.058671,0.039,150.4389,1.293184752,UP
840,150.5579,150.7535,149.0032,149.3747,24451164,24451164,-0.889834,-0.592,149.5421,1.279604008,DOWN
841,149.7756,149.9321,148.8467,149.7854,16404088,16404088,0.410693,0.275,149.496,1.285871692,UP
842,150.1766,152.0051,149.5018,152.0051,27770715,27770715,2.2197,1.482,151.1969,1.319746485,UP
843,150.9197,151.0273,150.0592,150.5188,25331662,25331662,-1.4863,-0.978,150.4784,1.297064093,DOWN
844,150.4895,152.3571,150.3721,151.0273,26624926,26624926,0.508476,0.338,151.2344,1.3048243,UP
845,151.5846,152.5234,151.0566,151.9269,21069647,21069647,0.899613,0.596,151.8999,1.318553076,UP
846,151.8096,152.0931,150.9784,151.5553,21250798,21250798,-0.371578,-0.245,151.4514,1.312882097,DOWN
847,151.7509,151.7509,142.7841,145.6785,64882657,64882657,-5.8768,-3.878,146.8483,1.223196381,DOWN
848,142.5103,142.8525,139.3519,142.1974,72307330,72307330,-3.4811,-2.39,141.077,1.170071391,DOWN
849,143.8988,144.1824,141.9334,143.3415,34165445,34165445,1.1441,0.805,143.1132,1.187531476,UP
850,144.2313,144.2313,140.6524,141.9432,31531232,31531232,-1.3983,-0.976,142.1609,1.16619205,DOWN
851,140.1439,141.278,139.0585,141.0924,32165373,32165373,-0.850721,-0.599,140.33,1.15320801,DOWN
852,140.5937,141.2978,139.0487,139.1172,50361093,50361093,-1.9752,-1.4,139.8689,1.123064526,DOWN
853,140.4764,143.4881,140.4764,143.097,32541404,32541404,3.9798,2.861,142.5162,1.183800167,UP
854,143.6153,143.6153,141.728,141.7965,24900073,24900073,-1.3005,-0.909,142.2282,1.163953265,DOWN
855,142.2952,142.8323,141.4053,142.6374,21265751,21265751,0.840943,0.593,142.3127,1.176786221,UP
856,142.5396,143.449,141.9039,142.4027,19106294,19106294,-0.234683,-0.165,142.5243,1.17320447,DOWN
857,141.9138,143.8988,141.8943,143.0383,35439389,35439389,0.635596,0.446,143.0824,1.182904347,UP
858,143.9086,144.994,142.1583,142.5885,25692361,25692361,-0.449807,-0.314,143.2455,1.176039959,DOWN
859,141.7965,142.921,140.4373,140.5448,24761891,24761891,-2.0437,-1.433,141.5988,1.144851099,DOWN
860,141.288,142.8721,139.9876,142.5983,22082432,22082432,2.0535,1.461,141.8107,1.176189517,UP
861,141.5031,141.9138,139.127,140.4959,31499368,31499368,-2.1024,-1.474,140.4288,1.144104837,DOWN
862,141.2489,141.7476,140.5937,140.8284,23024107,23024107,0.332465,0.237,141.1696,1.149179112,UP
863,141.6694,142.0801,139.9288,140.3199,14277848,14277848,-0.508477,-0.361,140.7926,1.141418905,DOWN
864,140.5057,141.5814,139.5608,140.8969,21569557,21569557,0.576925,0.411,140.7504,1.150224489,UP
865,139.8506,140.3199,139.2541,139.567,24128782,24128782,-1.3299,-0.944,139.6692,1.129928914,DOWN
866,139.7332,141.5422,139.7332,140.9849,19201712,19201712,1.4179,1.016,140.872,1.151567455,UP
