date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2015-06-11,30.2354,30.4557,30.1826,30.3588,20155476,20155476,0.132148,0.437,30.3623,"Jun 11, 15",0.17732740768317928
2015-06-12,30.2178,30.3588,30.0416,30.1385,21685532,21685532,-0.220246,-0.725,30.1454,"Jun 12, 15",0.16878407830545017
2015-06-15,30.0064,30.0592,29.8302,29.9888,20933597,20933597,-0.149767,-0.497,29.9559,"Jun 15, 15",0.16297864749362062
2015-06-16,30.0064,30.0416,29.7861,29.9888,20668868,20668868,0,0,29.9687,"Jun 16, 15",0.16297864749362062
2015-06-17,29.9976,30.1121,29.8214,29.9359,20993535,20993535,-0.05286,-0.176,29.9767,"Jun 17, 15",0.16092716259084314
2015-06-18,30.024,30.4028,29.9976,30.2795,24510771,24510771,0.343584,1.148,30.2551,"Jun 18, 15",0.17425211935066034
2015-06-19,30.1562,30.3984,30.1121,30.1121,28878959,28878959,-0.167387,-0.553,30.2061,"Jun 19, 15",0.16776027487570874
2015-06-22,30.2531,30.394,30.2002,30.2266,14041005,14041005,0.114528,0.38,30.293,"Jun 22, 15",0.17220063444788297
2015-06-23,30.3147,30.4733,30.2531,30.394,18452412,18452412,0.167387,0.554,30.3992,"Jun 23, 15",0.1786924789228346
2015-06-24,30.2531,30.4116,30.1562,30.1562,23080402,23080402,-0.237865,-0.783,30.2218,"Jun 24, 15",0.16947049196857222
2015-06-25,30.1385,30.2531,29.8786,29.9711,23025334,23025334,-0.185006,-0.613,30.0254,"Jun 25, 15",0.16229223383049843
2015-06-26,30.1033,30.209,29.839,29.883,35670284,35670284,-0.0881,-0.294,29.935,"Jun 26, 15",0.15887567768806563
2015-06-29,29.7157,30.0548,29.5439,29.5923,28839453,28839453,-0.290726,-0.973,29.7491,"Jun 29, 15",0.14760220583102593
2015-06-30,29.7685,29.7685,29.3633,29.5395,35018708,35018708,-0.052858,-0.179,29.5056,"Jun 30, 15",0.14555459897154288
2015-07-01,29.5659,29.8302,29.4337,29.6804,28218521,28218521,0.140958,0.477,29.6949,"Jul 1, 15",0.1510187619734586
2015-07-02,29.7245,30.3412,29.3809,29.3985,22627197,22627197,-0.281915,-0.95,29.4922,"Jul 2, 15",0.1400865579263326
2015-07-06,29.3368,29.6364,29.143,29.2928,20992420,20992420,-0.105719,-0.36,29.3202,"Jul 6, 15",0.1359874661640722
2015-07-07,29.3721,29.8101,29.2003,29.7157,25852788,25852788,0.422871,1.444,29.5258,"Jul 7, 15",0.15238771125640835
2015-07-08,29.5571,29.7157,29.4161,29.469,20209854,20209854,-0.246673,-0.83,29.5527,"Jul 8, 15",0.1428205784489378
2015-07-09,29.8214,29.9315,29.7157,29.8302,22112005,22112005,0.361204,1.226,29.8424,"Jul 9, 15",0.15682807082858274
2015-07-10,30.165,30.3412,30.0857,30.2707,21146375,21146375,0.440492,1.477,30.2384,"Jul 10, 15",0.17391085154074662
2015-07-13,30.4116,30.7024,30.3852,30.6759,18226226,18226226,0.405254,1.339,30.6191,"Jul 13, 15",0.18962468296996057
2015-07-14,30.6231,30.9667,30.579,30.905,18496477,18496477,0.229058,0.747,30.7978,"Jul 14, 15",0.1985092801576037
2015-07-15,30.8521,30.9358,30.7508,30.8169,19466157,19466157,-0.0881,-0.285,30.8466,"Jul 15, 15",0.1950927240151709
2015-07-16,30.9579,31.0107,30.8609,30.9226,15311782,15311782,0.105719,0.343,30.9189,"Jul 16, 15",0.19919181577743125
2015-07-17,30.8433,30.905,30.7596,30.8962,16775621,16775621,-0.026432,-0.085,30.8478,"Jul 17, 15",0.19816801234768983
2015-07-20,30.949,31.1605,30.905,31.046,14772177,14772177,0.149769,0.485,31.0474,"Jul 20, 15",0.20397732120281384
2015-07-21,31.046,31.134,30.7288,30.9579,17658558,17658558,-0.088099,-0.284,30.8869,"Jul 21, 15",0.20056076506038104
2015-07-22,30.8874,31.0107,30.6275,30.7288,17624916,17624916,-0.229057,-0.74,30.7406,"Jul 22, 15",0.19167616787273808
2015-07-23,30.8257,30.8345,30.5041,30.6407,12718083,12718083,-0.088098,-0.287,30.6464,"Jul 23, 15",0.18825961173030528
2015-07-24,30.5085,30.5878,30.0857,30.1826,21428146,21428146,-0.458113,-1.495,30.2683,"Jul 24, 15",0.17049429539831382
2015-07-27,30.1033,30.3059,29.8478,30.2531,31323719,31323719,0.070481,0.234,30.1,"Jul 27, 15",0.1732283159209189
2015-07-28,30.7817,31.2486,30.3059,31.1429,36671126,36671126,0.889795,2.941,30.9554,"Jul 28, 15",0.2077351451551605
2015-07-29,31.2574,31.83,31.2221,31.5041,45343528,45343528,0.361204,1.16,31.532,"Jul 29, 15",0.22174263753480544
2015-07-30,31.4336,31.7155,31.1781,31.4776,21501902,21501902,-0.026428,-0.084,31.4482,"Jul 30, 15",0.22071495606176939
2015-07-31,31.6362,32.1208,31.601,31.7684,29004377,29004377,0.290723,0.924,31.8589,"Jul 31, 15",0.2319923059621037
2015-08-03,31.971,31.9798,31.6274,31.8476,17096397,17096397,0.079291,0.25,31.7989,"Aug 3, 15",0.2350637162513282
2015-08-04,31.9093,31.9093,31.5578,31.8124,25733256,25733256,-0.035241,-0.111,31.7621,"Aug 4, 15",0.23369864501167287
2015-08-05,32.0255,32.1187,31.768,31.8035,24247752,24247752,-0.008882,-0.028,31.9232,"Aug 5, 15",0.23335349915846454
2015-08-06,31.9278,31.9456,31.1021,31.2264,24471370,24471370,-0.577116,-1.815,31.3441,"Aug 6, 15",0.21097331130604743
2015-08-07,31.2264,31.3418,30.96,31.2442,14653781,14653781,0.017758,0.057,31.1365,"Aug 7, 15",0.21166360301246395
2015-08-10,31.2619,31.4928,31.1909,31.3951,15619269,15619269,0.150937,0.483,31.3809,"Aug 10, 15",0.21751557034382726
2015-08-11,31.2619,31.2886,31.0222,31.182,19234841,19234841,-0.213088,-0.679,31.1665,"Aug 11, 15",0.20925146008330028
