date,open,high,low,volume,unadjustedVolume,change,changePercent,vwap,changeOverTime,close,trend
631,53.7217,53.8641,53.2851,26003419,26003419,-0.094915,-0.176,53.5624,0.64300793,53.7027,DOWN
632,53.959,54.0064,53.4464,35121958,35121958,0,0,53.7103,0.64300793,53.7027,DOWN
633,53.7976,54.2058,53.6173,22075616,22075616,0.370166,0.689,53.956,0.654334019,54.0729,UP
634,53.9115,54.5943,53.7881,26587749,26587749,0.398642,0.737,54.3715,0.666528991,54.4715,UP
635,54.7183,55.2498,54.5285,29335221,29335221,0.541013,0.993,55.005,0.683080623,55.0125,UP
636,55.1027,55.1312,54.8417,19473499,19473499,0.094915,0.173,55.0083,0.685987101,55.1075,UP
637,55.2119,55.5251,55.0695,16920721,16920721,0.13288,0.241,55.2605,0.690050053,55.2403,UP
638,55.2024,55.3542,54.8797,15756913,15756913,-0.170846,-0.309,55.048,0.68482451,55.0695,DOWN
639,55.079,55.4776,55.079,18162301,18162301,0.265761,0.483,55.306,0.692953472,55.3352,UP
640,55.079,55.2308,54.6898,21655161,21655161,-0.341691,-0.617,54.8694,0.682502386,54.9936,DOWN
641,55.06,55.5251,55.0125,19283902,19283902,0.170846,0.311,55.3179,0.687727929,55.1644,UP
642,55.0211,55.0307,54.6964,20523493,20523493,-0.305624,-0.554,54.8653,0.678378246,54.8588,DOWN
643,54.9543,55.088,54.6582,18856423,18856423,0.114606,0.209,54.8772,0.681884377,54.9734,UP
644,54.8397,55.1071,54.6964,14214341,14214341,0.038202,0.069,54.923,0.683053088,55.0116,UP
645,54.8492,55.1357,54.6296,17271044,17271044,0.019103,0.035,54.9454,0.683637443,55.0307,UP
646,55.0116,55.1548,54.6869,15221922,15221922,0.047751,0.087,54.9716,0.685096801,55.0784,UP
647,55.2981,55.5655,55.2504,18732373,18732373,0.210117,0.381,55.3572,0.691527768,55.2886,UP
648,55.2026,55.4318,55.1214,18151506,18151506,0.057301,0.104,55.2909,0.693280833,55.3459,UP
649,55.279,55.6706,55.1835,18552579,18552579,0.210116,0.38,55.5465,0.69970874,55.556,UP
650,55.661,56.0622,55.0975,20971202,20971202,-0.133709,-0.241,55.5147,0.695618254,55.4223,DOWN
651,55.5655,55.9667,55.4891,16417207,16417207,0.066853,0.121,55.6762,0.697661967,55.4891,UP
652,55.3745,55.5751,55.0211,16930185,16930185,-0.200561,-0.361,55.2521,0.691527768,55.2886,DOWN
653,55.0593,55.2026,54.7251,20860269,20860269,-0.410679,-0.743,54.9243,0.678962601,54.8779,DOWN
654,54.4481,55.2217,54.4481,26075363,26075363,0.124157,0.226,54.9033,0.68275938,55.002,UP
655,55.0784,55.5751,54.8397,18900489,18900489,0.076405,0.139,55.1806,0.685096801,55.0784,UP
656,55.1835,55.2026,54.6391,16278416,16278416,-0.057303,-0.104,54.9372,0.683343735,55.0211,DOWN
657,54.8874,55.2408,54.8254,17493359,17493359,0.047753,0.087,55.016,0.684806153,55.0689,UP
658,55.0402,55.193,54.6105,20146083,20146083,-0.219663,-0.399,54.8743,0.678084539,54.8492,DOWN
659,54.238,54.9352,53.6841,35113934,35113934,-1.1652,-2.124,54.163,0.642438872,53.6841,DOWN
660,53.4835,54.6343,53.111,29302962,29302962,0.802254,1.494,54.116,0.66698179,54.4863,UP
661,53.961,54.1043,53.5312,30130213,30130213,-0.496634,-0.911,53.8194,0.651788555,53.9897,DOWN
662,53.856,54.0852,53.5121,24274273,24274273,-0.257868,-0.478,53.7831,0.64389823,53.7318,DOWN
663,53.6267,54.7728,53.4644,27062614,27062614,0.888211,1.653,54.3508,0.671072276,54.62,UP
664,55.0402,55.0402,54.1998,44606965,44606965,0.057302,0.105,54.6543,0.672825342,54.6773,UP
665,54.6964,55.1548,54.2953,20937104,20937104,-0.30562,-0.559,54.6446,0.663475659,54.3717,DOWN
666,54.7728,54.7728,54.1998,17383982,17383982,-0.114607,-0.211,54.3878,0.659969528,54.2571,DOWN
667,54.9256,55.2504,54.515,33707272,33707272,0.907309,1.672,54.8696,0.687727929,55.1644,UP
668,55.3172,55.3936,55.0402,19822203,19822203,0.057304,0.104,55.2534,0.689480995,55.2217,UP
669,55.2695,55.3077,54.8015,19955336,19955336,-0.372474,-0.675,54.9377,0.678084539,54.8492,DOWN
670,54.515,54.5723,54.2762,21688720,21688720,-0.506184,-0.923,54.3997,0.662597596,54.343,DOWN
671,54.3717,55.4509,54.1339,28065071,28065071,1.0028,1.845,55.0737,0.693280833,55.3459,UP
672,55.279,55.4509,55.0784,20536400,20536400,0.076407,0.138,55.3031,0.695618254,55.4223,UP
673,55.2122,55.554,54.6391,25463536,25463536,-0.60169,-1.086,55.0742,0.677209536,54.8206,DOWN
674,54.9829,55.1739,54.7633,29910788,29910788,0.191011,0.348,54.9819,0.683053088,55.0116,UP
675,54.8254,54.9638,54.4959,19189515,19189515,-0.17191,-0.312,54.7621,0.677793891,54.8397,DOWN
676,54.6964,55.0068,54.4099,20085874,20085874,-0.171911,-0.313,54.673,0.672534694,54.6678,DOWN
